category,period,name1,name2,value,lower,upper,chs_value,good_start_value,bad_start_value
meas_sd,2,y1,-,0.50427244,-inf,inf,0.50427244,0.5,0.8
meas_sd,2,y2,-,0.51856939,-inf,inf,0.51856939,0.5,0.8
meas_sd,2,y3,-,0.50392617,-inf,inf,0.50392617,0.5,0.8
meas_sd,2,y4,-,0.49161026,-inf,inf,0.49161026,0.5,0.8
meas_sd,2,y5,-,0.50441808,-inf,inf,0.50441808,0.5,0.8
meas_sd,2,y6,-,0.48482939,-inf,inf,0.48482939,0.5,0.8
meas_sd,2,Q1_fac1,-,1.03957418,-inf,inf,1.03957418,1.0,0.8
meas_sd,3,y1,-,0.49476345,-inf,inf,0.49476345,0.5,0.8
meas_sd,3,y2,-,0.49363682,-inf,inf,0.49363682,0.5,0.8
meas_sd,3,y3,-,0.49918763,-inf,inf,0.49918763,0.5,0.8
meas_sd,3,y4,-,0.49728617,-inf,inf,0.49728617,0.5,0.8
meas_sd,3,y5,-,0.5116465,-inf,inf,0.5116465,0.5,0.8
meas_sd,3,y6,-,0.48035036,-inf,inf,0.48035036,0.5,0.8
meas_sd,3,Q1_fac1,-,1.03957418,-inf,inf,1.03957418,1.0,0.8
meas_sd,4,y1,-,0.50529312,-inf,inf,0.50529312,0.5,0.8
meas_sd,4,y2,-,0.50706948,-inf,inf,0.50706948,0.5,0.8
meas_sd,4,y3,-,0.47849704,-inf,inf,0.47849704,0.5,0.8
meas_sd,4,y4,-,0.49962829,-inf,inf,0.49962829,0.5,0.8
meas_sd,4,y5,-,0.49001347,-inf,inf,0.49001347,0.5,0.8
meas_sd,4,y6,-,0.48723789,-inf,inf,0.48723789,0.5,0.8
meas_sd,4,Q1_fac1,-,1.03957418,-inf,inf,1.03957418,1.0,0.8
meas_sd,5,y1,-,0.51551926,-inf,inf,0.51551926,0.5,0.8
meas_sd,5,y2,-,0.52331776,-inf,inf,0.52331776,0.5,0.8
meas_sd,5,y3,-,0.48326815,-inf,inf,0.48326815,0.5,0.8
meas_sd,5,y4,-,0.47910757,-inf,inf,0.47910757,0.5,0.8
meas_sd,5,y5,-,0.50327233,-inf,inf,0.50327233,0.5,0.8
meas_sd,5,y6,-,0.49705186,-inf,inf,0.49705186,0.5,0.8
meas_sd,5,Q1_fac1,-,1.03957418,-inf,inf,1.03957418,1.0,0.8
meas_sd,6,y1,-,0.52223919,-inf,inf,0.52223919,0.5,0.8
meas_sd,6,y2,-,0.48641122,-inf,inf,0.48641122,0.5,0.8
meas_sd,6,y3,-,0.47597189,-inf,inf,0.47597189,0.5,0.8
meas_sd,6,y4,-,0.52595048,-inf,inf,0.52595048,0.5,0.8
meas_sd,6,y5,-,0.51187305,-inf,inf,0.51187305,0.5,0.8
meas_sd,6,y6,-,0.52425668,-inf,inf,0.52425668,0.5,0.8
meas_sd,6,Q1_fac1,-,1.03957418,-inf,inf,1.03957418,1.0,0.8
meas_sd,7,y1,-,0.52163477,-inf,inf,0.52163477,0.5,0.8
meas_sd,7,y2,-,0.52112353,-inf,inf,0.52112353,0.5,0.8
meas_sd,7,y3,-,0.47545353,-inf,inf,0.47545353,0.5,0.8
meas_sd,7,y4,-,0.5150197,-inf,inf,0.5150197,0.5,0.8
meas_sd,7,y5,-,0.48993218,-inf,inf,0.48993218,0.5,0.8
meas_sd,7,y6,-,0.52777721,-inf,inf,0.52777721,0.5,0.8
meas_sd,7,Q1_fac1,-,1.03957418,-inf,inf,1.03957418,1.0,0.8
shock_sd,0,fac1,-,0.321936173798472,-inf,inf,0.5673941961268832,0.31622776601683794,0.7071067811865476
shock_sd,0,fac2,-,0.3131064355774247,-inf,inf,0.5595591439494352,0.31622776601683794,0.7071067811865476
initial_mean,0,mixture_0,fac1,0.0,-inf,inf,0.0,0.0,0.0
initial_mean,0,mixture_0,fac2,0.0,-inf,inf,0.0,0.0,0.0
initial_mean,0,mixture_0,fac3,0.0,-inf,inf,0.0,0.0,0.0
initial_cov,0,mixture_0,fac1-fac1,0.17647290000000002,-inf,inf,0.17647290000000002,0.2,0.5
initial_cov,0,mixture_0,fac2-fac1,0.00524114,-inf,inf,0.00524114,0.0,0.0
initial_cov,0,mixture_0,fac2-fac2,0.18362641,-inf,inf,0.18362641,0.2,0.5
initial_cov,0,mixture_0,fac3-fac1,0.005665399999999999,-inf,inf,0.005665399999999999,0.0,0.0
initial_cov,0,mixture_0,fac3-fac2,-0.00067522,-inf,inf,-0.00067522,0.0,0.0
initial_cov,0,mixture_0,fac3-fac3,0.23194739,-inf,inf,0.23194739,0.2,0.5
trans,0,fac1,fac1,0.65978837,-inf,inf,0.65978837,0.7,0.5
trans,0,fac1,fac2,0.174038,-inf,inf,0.174038,0.2,0.25
trans,0,fac1,fac3,0.16617363,-inf,inf,0.16617363,0.1,0.25
trans,0,fac1,phi,-0.40701787,-inf,inf,-0.40701787,-0.4,-0.2
trans,0,fac2,fac2,0.60887112,-inf,inf,0.60887112,0.6,0.5
trans,0,fac2,constant,0.0,-inf,inf,0.0,0.0,0.0
